id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence
107,"Akshat	KansalCTO, KIWI",Akshat	Kansal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
108,"Devang	MundhraCTO	, KredX",Devang	Mundhra,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
109,"Patanjali SomayajiCTO, AXIO",Patanjali Somayaji,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
110,"Keshav ReddyFounder, Equal",Keshav Reddy,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
111,"Ananda MatthurVP of Engineering, Urban Company",Ananda Matthur,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
112,"Sameer KhanIndia Lead Cloud Business & Alliances, AMD",Sameer Khan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
113,"Ranjani ManiDirector and Country Head, Generative AI, Microsoft India & South Asia",Ranjani Mani,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
114,"Darshan	Datt K SDirector Engineering,	Exotel",Darshan	Datt K S,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
115,"Reiji KobayashiCEO & Director, Hakki Africa Inc",Reiji Kobayashi,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
116,"Jagjeet SinghManaging Director, Digireha",Jagjeet Singh,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
117,"Suguru KawashimaCFO & Head of Global Business, Findy",Suguru Kawashima,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
118,"Mayank VishwakarmaDirector - Customer Success and Presales, primeNumber",Mayank Vishwakarma,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
